date,row,tree,inner_1_panonychus,inner_1_bryobia,inner_1_tetranychus,inner_1_predatory,inner_1_tetra_egg,inner_1_predator_egg,inner_1_pan_egg,inner_2_panonychus,inner_2_bryobia,inner_2_tetranychus,inner_2_predatory,inner_2_tetra_egg,inner_2_predator_egg,inner_2_pan_egg,inner_3_panonychus,inner_3_bryobia,inner_3_tetranychus,inner_3_predatory,inner_3_tetra_egg,inner_3_predator_egg,inner_3_pan_egg,inner_4_panonychus,inner_4_bryobia,inner_4_tetranychus,inner_4_predatory,inner_4_tetra_egg,inner_4_predator_egg,inner_4_pan_egg,inner_5_panonychus,inner_5_bryobia,inner_5_tetranychus,inner_5_predatory,inner_5_tetra_egg,inner_5_predator_egg,inner_5_pan_egg,outer_1_panonychus,outer_1_bryobia,outer_1_tetranychus,outer_1_predatory,outer_1_tetra_egg,outer_1_predator_egg,outer_1_pan_egg,outer_2_panonychus,outer_2_bryobia,outer_2_tetranychus,outer_2_predatory,outer_2_tetra_egg,outer_2_predator_egg,outer_2_pan_egg,outer_3_panonychus,outer_3_bryobia,outer_3_tetranychus,outer_3_predatory,outer_3_tetra_egg,outer_3_predator_egg,outer_3_pan_egg,outer_4_panonychus,outer_4_bryobia,outer_4_tetranychus,outer_4_predatory,outer_4_tetra_egg,outer_4_predator_egg,outer_4_pan_egg,outer_5_panonychus,outer_5_bryobia,outer_5_tetranychus,outer_5_predatory,outer_5_tetra_egg,outer_5_predator_egg,outer_5_pan_egg,Antlion,Stethorus
03/07/2023,18,18_5,,,2,,10+,,,,,5+,,5+,3,,2,,5+,1,10+,,1,,,,,4,,,,,,1,10+,,,3,,,,10+,20+,,5+,,,,10+,30+,,2,,,1,5+,,,1,2,,,,,,,4,,,5+,,,,yes
03/07/2023,18,18_20,,,10+,,20+,,,,,10+,,10+,,,,,10+,,20+,,,,,5+,1,5+,,,5+,,5+,,5+,,,2,3,,,5+,,,3,,,,,5+,,,,5+,2,5+,,,,,4,,,,1,2,1,5+,1,,20+,,,
03/07/2023,18,18_35,,,30+,,30+,,,,,20+,1,30+,,,,,30+,,30+,,,,,30+,,30+,,,,,30+,1,30+,,1,5+,,,,,3,,3,,5+,1,10+,,,,,10+,,30+,,,,,20+,,30+,,,3,,5+,,20+,,,,yes
03/07/2023,18,18_50,,,,,,,,,,,,,,,,,,,10+,,,,,10+,1,20+,,,,,,1,20+,,,3,,4,,10+,,,5+,,5+,1,20+,,,4,,10+,1,20+,5+,2,,,10+,,20+,,,2,,5+,,,,,,yes
03/07/2023,18,18_65,,,20+,1,30+,2,,,,5+,1,20+,,,,,,,,,,,,,,,,,,,5+,1,20+,,,,,,,,,,,,,,20+,,,,,,,10+,,,,,,,,5+,,3,,,,,4,,,yes
03/07/2023,17,17_50,,,,,4,,,,,,,5+,10+,,,,,1,,4,,,,,1,,5+,,1,,,,,5+,,,,,2,,4,,2,,,1,,5+,,,,,,,30+,,,,,1,,30+,,,,,,,30+,,,
03/07/2023,17,17_35,,,2,2,5+,,,1,,5+,1,,3,,1,1,,3,,4,,,,5+,10+,20+,,,1,,10+,1,20+,,,3,,10+,,20+,,,10+,,,1,20+,,,5+,1,5+,1,10+,30+,,3,,,1,5+,10+,,3,,5+,,10+,3,5+,,
03/07/2023,17,17_20,,,5+,5+,30+,,,1,,,5+,30+,,,,,5+,5+,20+,,,,,,2,10+,,,,,,4,10+,,,10+,,,1,,20+,,,,,1,,,,10+,,,1,,10+,,4,,,1,,,,5+,,,1,,30+,,,yes
03/07/2023,17,17_5,,,,1,5+,,,5+,,,1,20+,10+,,,,,,30+,20+,,,,,1,5+,4,,,,,,,,,20+,2,,,5+,20+,,10+,,,,,20+,,10+,,,,10+,5+,,20+,2,,2,10+,20+,,20+,,,1,,20+,,,yes
03/07/2023,16,16_1,,,,1,,,,,1,,,,5+,,,1,,,,5+,,,,,,,,,,,,1,,,,,1,,1,,,,,,,,,5+,,,,,,,4,,,,,2,,5+,,1,,,2,,4,,,
03/07/2023,16,16_15,,,,,5+,,10+,,,3,1,,5+,4,2,,,1,5+,5+,,2,3,,,5+,5+,,2,,,,,5+,,5+,,,2,,10+,,3,,2,2,,,,10+,,,2,,30+,,10+,,5+,,10+,,,3,,,3,,20+,,,yes
03/07/2023,16,16_31,,,,,5+,2,4,,,,,10+,,,4,,10+,3,30+,,,2,,,,5+,,,,,5+,3,30+,,,5+,,5+,,,20+,,10+,,,,,20+,,,,,2,30+,20+,,,3,,,5+,,,,,3,1,10+,10+,,,yes
03/07/2023,16,16_45,,,,10+,20+,3,,,,,2,,,,,,,1,,,,,,,,,,,,,5+,2,20+,,,3,,,1,,5+,,2,,,2,,5+,,,,,,,20+,,4,,,2,,10+,,10+,,,,,,,,yes
03/07/2023,16,16_60,,,,1,,,4,3,,,1,,,,,,,,,10+,,2,,,1,,10+,,,,,,,10+,,,1,,,,10+,,,,5+,,30+,10+,,3,,,,,20+,,3,,,,,5+,,4,,,1,,20+,,,yes
03/07/2023,15,15_50,,,,,,,,,2,,,,5+,,,2,,,,10+,,,,,1,,10+,,,2,,,,,,2,,,,,5+,,,2,,,,20+,,,1,,,20+,30+,1,2,,,,3,20+,,,,,,,10+,,,
03/07/2023,15,15_35,,,,,,,,2,,,1,,,,2,,,1,10+,,,,,,,10+,,,1,,4,1,20+,,,2,,,,10+,,,2,,,,,20+,,2,,,1,10+,20+,1,,,5+,,20+,10+,,2,,,,5+,20+,,yes,yes
03/07/2023,15,15_20,,,,1,20+,,,,,,3,10+,,,,,,1,30+,,,,,,,10+,,,,,,1,,10+,,5+,,,1,,10+,,,,,,,20+,,3,,,1,,20+,,,,,,,20+,,,,,,5+,5+,,,yes
03/07/2023,15,15_5,,4,,1,,,,,5+,,1,,,,5+,,,2,10+,,,,,,1,,,,2,,,1,,,,,,,1,20+,10+,,3,,,,,,,3,,4,1,20+,10+,,10+,,,,20+,20+,,,,,,,10+,,,yes
07/07/2023,14,14_4,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,,,,,,,,,,,,30+,,,,,,,,,,,,,,,,,
07/07/2023,14,14_20,2,,,5+,,,,2,,,5+,,,,,,,,,,2,,,4,10+,,,5+,,,,10+,,,,1,,4,3,10+,,3,2,,,,,3,,,,2,,10+,4,,,,3,5+,,4,,,,2,,10+,,,,
07/07/2023,14,14_36,,,,,5+,10+,,,,,,20+,,,,,1,1,,,5+,,,1,,10+,,20+,,,,,,,,,,,,,2,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
07/07/2023,14,14_50,,,,3,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,3,,,,,5+,,5+,,,,,,5+,,,,,,,,,,
07/07/2023,14,14_66,,,,2,,3,,,,,3,10+,,3,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,20+,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,13,13_65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,30+,,,,,,,,,,,,,,,,,,,,,,,,,yes
07/07/2023,13,13_50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,13,13_35,,,,,,4,3,,,,,10+,,,,,,,,,,,,,,,,,,,,,30+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,13,13_15,,,,,30+,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,13,13_2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,12,12_15,,1,,,,,2,,4,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,4,,,,1,,,,,,,,4,,5+,,,,,,,,,,,,,,,,,
07/07/2023,12,12_35,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,11,11_15,,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
07/07/2023,9,9_7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,9,9_15,,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,2,,,,,,,5+,,,,,,,,,,,,,,,
07/07/2023,9,9_35,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,3,,,,,,,3,,,,,,,,,,yes
07/07/2023,9,9_50,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,5+,,,,,,,10+,,,,,,,,,,,,,,,yes
07/07/2023,9,9_64,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes
07/07/2023,8,8_49,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,8,8_42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10+,,,,,10+,,10+,,,,,10+,,4,,,,,5+,,5+,,,,,10+,,,,,,,,,,
07/07/2023,8,8_36,3,,,,,,,1,,,,,,,2,,,,,,,5+,,,,,,,3,,,,,4,,10+,,,,,10+,,10+,,,,,10+,,2,,,,,,,3,,,,,,,,,,,,,,,
07/07/2023,8,8_20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,8,8_5,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,4,3,,2,,,,5+,2,,,,,,2,,,,,,,,,,,,,,,
07/07/2023,7,7_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,7,7_19,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,7,7_30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,7,7_30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2023,7,7_44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,2,,,,,4,,2,,,5+,,,,1,,,,,,,,,,,,,,,
09/07/2023,6,6_2,3,,,,,,,0,0,0,1,,,,,,,1,,,,,1,,1,,,,0,0,0,0,0,0,0,,,,,,5+,,,1,,,,,,,1,,,,5+,,0,0,0,0,0,0,0,1,,,,,,,,
09/07/2023,6,6_15,1,,,1,,,,,,,1,,1,,,1,0,2,,,,,,,2,,,,,,,5+,,1,,1,,,,,20+,,,,,1,,20+,,,,,0,,10+,,1,,,,,10+,,,,,1,,5+,,,
09/07/2023,6,6_30,,,,1,,,1,,,,1,,10+,,,,,,,5+,,,,,,,5+,,0,,,,,0,,1,,,1,0,20+,,,,,1,,5+,,,,,4,,5+,,,,,,,5+,,,,,,,30+,,,
09/07/2023,6,6_45,,,,1,,,,0,,,,,,,,,,1,,5+,,,,,1,,5+,,,,,1,,,,,,,,,20+,,,,,1,,10+,,,,,1,,20+,,1,,,,,10+,,,,,2,,20+,,,
09/07/2023,6,6_52,,,,,,,5+,,,,,,5+,,,,,4,,3,,,,,,,3,,,,,2,,4,,,,,5+,,20+,,,,,3,,10+,,,,,,,5+,,1,,,2,,5+,,,,,4,,20+,,,
09/07/2023,5,5_65,0,,,,,,,,,,,,4,,,,,5+,,,,,,,2,,,,,,,1,,,,,,,3,,10+,,,,,,,10+,,,,,4,,,,,,,1,,,,,,,1,,,,,
09/07/2023,5,5_5,,,1,2,,,,,,1,1,,,,,,4,2,,,,,,,1,,,,,,,2,,5+,,2,,,,,,,1,,,,,,,1,,,3,,,,,,1,,,,,1,,,4,,5+,,,
09/07/2023,5,5_35,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,,,,,,,,1,,,3,,,,,,,1,,5+,,0,,,,,,,1,,,,,10+,,,,,,,5+,,,
09/07/2023,5,5_20,,,5+,2,4,1,,,,,2,,30+,,,,,1,,,,1,,,,,,,0,,,,,,,2,,,1,,,,10+,,,1,,10+,,20+,,,1,,,,0,,,,,,,,,,3,,5+,,,
09/07/2023,5,5_5,0,,,,,,,,,,2,,,,3,1,,3,,2,,1,,,,,,,,,,4,,,,0,,,,,,,0,,,,,,,,,,,,5+,,0,,,,,,,0,,,,,,,,
09/07/2023,4,4_8,0,,,,,,,,,,1,,,,0,,,,,,,,,,,,5+,,0,,,,,,,0,,,,,,,,,0,,,5+,,1,,,,,,,0,,,,,,,1,,,,,,,,
09/07/2023,4,4_20,0,,,,,,,,,,3,,,,0,,,,,,,0,,,,,,,,,,1,,,,1,,,1,,10+,,,,,2,,5+,,2,,,,,5+,,5+,,,1,,,,2,,,1,,,,yes,
09/07/2023,4,4_36,0,,,,,,2,0,,,,,,,,,,1,,,,,,,,,2,,,,,1,3,,,,,,3,,5+,,,,,1,,,,,,,1,,,,0,,,,,,,,,,,,5+,,,
09/07/2023,4,4_50,,,,2,,,,,,,2,,,,,,,1,,,,,,,,,4,,0,,,,,,,,,,,,10+,,,,,4,,5+,,,,,3,,,,,,,1,,,,0,,,,,,,,
09/07/2023,4,4_66,0,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,5+,,,,,,,1,,5+,,,,,1,,10+,,,,,1,,20+,,,,,1,,10+,,,,,2,,10+,,,
09/07/2023,3,3_65,0,,,1,,,,1,,,3,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,5+,,1,,,,,5+,,0,,,,,,,,,,2,,5+,,,,,3,,,,yes,
09/07/2023,3,3_50,0,,,,,,,,,,3,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,1,,,,,,,5+,,,,,,,4,,10+,,,,,2,,30+,,,,,1,,10+,,,
09/07/2023,3,3_35,,,,4,,,,,,,4,,3,,,1,,,,,,,3,,4,,,,0,,,,,,,1,,,,,,,1,,,1,,,,10+,,,1,,,,,,,2,,5+,,2,,,,,,,,
09/07/2023,3,3_20,1,1,,1,,,,,1,,,,,,0,,,,,,,,1,,5+,,,,,,,4,,,,,1,,1,,,,,,,1,,,,,,,2,,,,,,,0,,,,0,,,,,,,,
09/07/2023,3,3_4,,,,1,,,,0,,,,,,,,,,,,1,,,,2,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,,,4,,,,0,,,,,,,0,,,,,,,,
09/07/2023,2,2_2,0,,,,,,,0,,,,,,,0,,,,,,,,,,2,,2,,,,,,,,1,,2,,0,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
09/07/2023,2,2_15,,,,1,,,,,,,4,,,,,1,,2,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,,
09/07/2023,2,2_31,,,4,5+,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,,,5+,,,,0,,,,,,,,,,1,,,,,,,1,,1,,0,,,,,,,,
09/07/2023,2,2_46,0,,,,,,,0,,,,,,,,,,2,,,,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,1,,1,,,,1,,,,,,,0,,,,,,,,
09/07/2023,2,2_60,,,,5+,,,,0,,,,,,,0,,,,,,,,,2,,,,,0,,,1,,,,0,,,,,,,,,,1,,,,,,,3,,,,1,,,1,,,,2,,,1,,,,,
09/07/2023,1,1_61,1,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,,,4,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,yes,
09/07/2023,1,1_46,0,,,,,,,,,,1,,,,0,,,,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
09/07/2023,1,1_29,0,,,,,,,0,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,,,1,,,,0,,,,,,,,
09/07/2023,1,1_17,,0,,3,,,,0,,,,,,,0,,,2,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
09/07/2023,1,1_2,0,,,,,,,,,,1,,,,0,,,,,,,0,,,1,,,,0,,,,,,,,,,1,,,,,,,1,,,,0,,,,,,,0,,,,,,,0,,,,,,,,
